users_count,traffic_level,team_size,update_frequency,integrations,security_level,scalability_need,architecture,deployment_method,api_style
119799,High,34,Daily,12,High,High,Kubernetes Deployment,Kubernetes Orchestration Deployment,REST API + gRPC/Event-Driven
167911,High,36,Daily,13,High,High,Kubernetes Deployment,Kubernetes Orchestration Deployment,REST API + gRPC/Event-Driven
72556,High,21,Daily,22,High,High,Kubernetes Deployment,Kubernetes Orchestration Deployment,REST API + gRPC/Event-Driven
16437,Low,13,Weekly,7,Medium,Medium,Containerized App,Docker Container Deployment,REST API
40804,Medium,23,Weekly,15,High,High,Microservices,Microservices with Docker,REST API + gRPC
47202,Medium,24,Weekly,13,Medium,High,Microservices,Microservices with Docker,REST API + gRPC
1894,Low,3,Monthly,3,Medium,Low,Monolithic,Single Server Deployment,REST API
3531,Low,2,Monthly,3,Low,Low,Monolithic,Single Server Deployment,REST API
16875,Medium,8,Weekly,7,High,Low,Containerized App,Docker Container Deployment,REST API
119489,High,34,Daily,12,High,High,Kubernetes Deployment,Kubernetes Orchestration Deployment,REST API + gRPC/Event-Driven
5191,Low,7,Monthly,3,High,Low,Containerized App,Docker Container Deployment,REST API
32057,High,25,Daily,9,High,High,Microservices,Microservices with Docker,REST API + gRPC
67755,High,42,Daily,21,High,High,Kubernetes Deployment,Kubernetes Orchestration Deployment,REST API + gRPC/Event-Driven
192636,High,42,Daily,10,High,High,Kubernetes Deployment,Kubernetes Orchestration Deployment,REST API + gRPC/Event-Driven
6257,Low,7,Monthly,7,Medium,Low,Containerized App,Docker Container Deployment,REST API
4889,Low,2,Monthly,2,Low,Low,Monolithic,Single Server Deployment,REST API
72044,High,26,Daily,21,High,High,Kubernetes Deployment,Kubernetes Orchestration Deployment,REST API + gRPC/Event-Driven
42457,High,22,Daily,15,Medium,High,Microservices,Microservices with Docker,REST API + gRPC
16724,Low,10,Weekly,3,High,Medium,Containerized App,Docker Container Deployment,REST API
39643,High,30,Daily,15,High,High,Microservices,Microservices with Docker,REST API + gRPC
2751,Low,4,Monthly,2,Medium,Low,Monolithic,Single Server Deployment,REST API
171577,High,34,Daily,17,High,High,Kubernetes Deployment,Kubernetes Orchestration Deployment,REST API + gRPC/Event-Driven
15900,Medium,12,Weekly,5,Medium,Medium,Containerized App,Docker Container Deployment,REST API
22958,Medium,28,Weekly,15,Medium,High,Microservices,Microservices with Docker,REST API + gRPC
745,Low,5,Monthly,2,Medium,Low,Monolithic,Single Server Deployment,REST API
57201,High,34,Daily,20,High,High,Kubernetes Deployment,Kubernetes Orchestration Deployment,REST API + gRPC/Event-Driven
2949,Low,5,Monthly,1,Low,Low,Monolithic,Single Server Deployment,REST API
1101,Low,5,Monthly,2,Medium,Low,Monolithic,Single Server Deployment,REST API
5017,Medium,15,Weekly,8,Medium,Low,Containerized App,Docker Container Deployment,REST API
25086,High,28,Daily,14,High,Medium,Microservices,Microservices with Docker,REST API + gRPC
18299,Medium,6,Weekly,6,High,Medium,Containerized App,Docker Container Deployment,REST API
45975,Medium,19,Weekly,9,Medium,High,Microservices,Microservices with Docker,REST API + gRPC
8472,Low,13,Weekly,3,Medium,Medium,Containerized App,Docker Container Deployment,REST API
10806,Low,12,Monthly,8,High,Low,Containerized App,Docker Container Deployment,REST API
4517,Low,4,Monthly,3,Low,Low,Monolithic,Single Server Deployment,REST API
17326,Low,10,Weekly,8,Medium,Low,Containerized App,Docker Container Deployment,REST API
18227,Medium,9,Monthly,4,High,Low,Containerized App,Docker Container Deployment,REST API
